# r/g(r)/dn[At1,At2]:      g(r)[ H, N]            dn(r)
          4.423      0.8045168225      7.6579473684
          4.442      0.8059196277      7.7361578947
          4.461      0.8572884587      7.8200526316
          4.479      0.8757752995      7.9064736842
          4.498      0.8748849403      7.9935263158
          4.517      0.8566677343      8.0794736842
          4.535      0.8022988297      8.1606315789
          4.554      0.8721249252      8.2495789474
          4.572      0.8901154003      8.3411052632
          4.591      0.9108320884      8.4355263158
          4.610      0.9024794768      8.5298421053
          4.628      0.9037233866      8.6250526316
          4.647      0.9495200723      8.7258947368
          4.666      0.9316300826      8.8256315789
          4.684      0.9183835488      8.9247368421
          4.703      0.9837038532      9.0317368421
          4.721      0.9591561589      9.1368947368
          4.740      0.9316290984      9.2398421053
          4.759      0.9593211094      9.3466842105
          4.777      0.8918371313      9.4467894737
          4.796      0.8881805169      9.5472631579
          4.815      0.9020970225      9.6501052632
          4.833      0.9084432009      9.7544736842
          4.852      0.9069372461      9.8594736842
          4.870      0.9036231739      9.9648947368
          4.889      0.9048102239     10.0712631579
          4.908      0.9139508852     10.1795263158
          4.926      0.9348336082     10.2911052632
          4.945      0.8857910143     10.3976315789
          4.964      0.8930556049     10.5058421053
          4.982      0.8915645304     10.6146842105
          5.001      0.8528419276     10.7195789474
          5.019      0.8579928299     10.8258947368
          5.038      0.8571417938     10.9328947368
          5.057      0.9060831796     11.0468421053
          5.075      0.8828273115     11.1586842105
          5.094      0.8842192434     11.2715263158
          5.113      0.8876145781     11.3856315789
          5.131      0.9067889381     11.5030526316
          5.150      0.8816800684     11.6180526316
          5.168      0.8893584915     11.7348947368
          5.187      0.8869605909     11.8522631579
          5.206      0.8774659917     11.9692105263
          5.224      0.8982748170     12.0897894737
          5.243      0.9133160278     12.2132631579
          5.262      0.9373994872     12.3408947368
          5.280      0.9929792618     12.4770526316
          5.299      0.9761013565     12.6118421053
          5.317      0.9768450088     12.7476842105
          5.336      0.9843195964     12.8855263158
          5.355      0.9905470504     13.0252105263
          5.373      0.9607120851     13.1616315789
          5.392      0.9857421589     13.3025789474
          5.411      1.0067498187     13.4475263158
          5.429      0.9984020778     13.5922631579
          5.448      0.9887024562     13.7365789474
          5.466      0.9805441183     13.8806842105
          5.485      0.9895470230     14.0271052632
          5.504      0.9994656875     14.1760000000
          5.522      0.9699259036     14.3214736842
          5.541      0.9564451835     14.4658947368
          5.560      1.0005967596     14.6180000000
          5.578      0.9970214110     14.7705789474
          5.597      1.0098698414     14.9261578947
          5.615      1.0028426148     15.0816842105
          5.634      1.0569068634     15.2466842105
          5.653      1.0603358697     15.4133157895
          5.671      1.0424032028     15.5782105263
          5.690      1.0580670347     15.7466842105
          5.709      1.0718626395     15.9184736842
          5.727      1.1011170328     16.0961052632
          5.746      1.0696791959     16.2697894737
          5.764      1.0395901788     16.4396842105
          5.783      1.0780223205     16.6170000000
          5.802      1.0870085304     16.7969473684
          5.820      1.0838536152     16.9775263158
          5.839      1.1130472453     17.1641578947
          5.858      1.0959996568     17.3491052632
          5.876      1.1454686253     17.5436315789
          5.895      1.1502523855     17.7402105263
          5.913      1.1525050150     17.9384210526
          5.932      1.1735615577     18.1415263158
          5.951      1.1360058626     18.3393684211
          5.969      1.1889933022     18.5477368421
          5.988      1.2045897943     18.7601578947
          6.007      1.1419609942     18.9627894737
          6.025      1.1458188200     19.1673684211
          6.044      1.1308575065     19.3705263158
          6.063      1.1338195635     19.5754736842
          6.081      1.0846339596     19.7727368421
          6.100      1.0719802230     19.9688947368
          6.118      1.0580308436     20.1636842105
          6.137      1.0621318992     20.3604210526
          6.156      1.0370739847     20.5536842105
          6.174      1.0428977962     20.7492105263
          6.193      1.0098463101     20.9396842105
          6.212      1.0123977913     21.1317894737
          6.230      1.0518463423     21.3325789474
          6.249      1.0406520715     21.5324210526
          6.267      1.0312067652     21.7316315789
          6.286      1.0662716668     21.9388421053
          6.305      1.0645580039     22.1469473684
          6.323      1.0534781805     22.3541052632
          6.342      1.0733754937     22.5664210526
