# r/g(r)/dn[At1,At2]:      g(r)[ H, C]            dn(r)
          5.224      0.9669844106     13.3728947368
          5.243      0.9881565534     13.5120526316
          5.262      0.9859973690     13.6518947368
          5.280      0.9812646398     13.7920526316
          5.299      1.0029184168     13.9363157895
          5.317      0.9988117211     14.0810000000
          5.336      0.9676774918     14.2221578947
          5.355      0.9555830535     14.3625263158
          5.373      0.9724541217     14.5063684211
          5.392      0.9735216064     14.6513684211
          5.411      0.9815701064     14.7985789474
          5.429      0.9769382484     14.9461052632
          5.448      0.9896543798     15.0965789474
          5.466      0.9949550370     15.2488947368
          5.485      0.9936730997     15.4020526316
          5.504      0.9299800348     15.5463684211
          5.522      0.9432564504     15.6937368421
          5.541      0.9198604581     15.8384210526
          5.560      0.9160342155     15.9834736842
          5.578      0.9198322129     16.1301052632
          5.597      0.9025694626     16.2749473684
          5.615      0.8780217980     16.4167894737
          5.634      0.8887322478     16.5613157895
          5.653      0.9214673716     16.7121578947
          5.671      0.9250072417     16.8645789474
          5.690      0.9348275117     17.0196315789
          5.709      0.9438696302     17.1772105263
          5.727      0.9715669435     17.3404736842
          5.746      0.9970188054     17.5091052632
          5.764      0.9788379200     17.6757368421
          5.783      0.9842161396     17.8443684211
          5.802      1.0310143969     18.0221578947
          5.820      1.0356472434     18.2018947368
          5.839      0.9657709431     18.3705789474
          5.858      1.0335956695     18.5522631579
          5.876      1.0216985089     18.7330000000
          5.895      1.0250088406     18.9154736842
          5.913      1.0235566578     19.0988421053
          5.932      0.9762669746     19.2748421053
          5.951      1.0276093255     19.4612631579
          5.969      1.0088093109     19.6454210526
          5.988      0.9486771399     19.8196842105
          6.007      0.9507759609     19.9954210526
          6.025      0.9757530126     20.1768947368
          6.044      0.9455609376     20.3538421053
          6.063      0.9330513905     20.5295263158
          6.081      1.0009655043     20.7191578947
          6.100      0.9705634732     20.9041578947
          6.118      0.9171849544     21.0800526316
          6.137      0.9539069667     21.2641052632
          6.156      0.9711892845     21.4526315789
          6.174      0.9515944101     21.6384736842
          6.193      0.9852572919     21.8320526316
          6.212      1.0081152100     22.0313157895
          6.230      0.9788043678     22.2259473684
          6.249      1.0029726280     22.4265789474
          6.267      0.9706039560     22.6218947368
          6.286      0.9932007763     22.8229473684
          6.305      1.0336066665     23.0334210526
          6.323      1.0247002399     23.2433157895
          6.342      1.0406580295     23.4577368421
          6.361      1.0157803902     23.6682631579
          6.379      1.0164215630     23.8801578947
          6.398      0.9881734581     24.0873684211
          6.416      0.9549953661     24.2887894737
          6.435      0.9760217786     24.4958421053
          6.454      0.9743430144     24.7037368421
          6.472      0.9976830323     24.9178421053
          6.491      1.0031825843     25.1343684211
          6.510      0.9981774859     25.3510526316
          6.528      0.9797131100     25.5649473684
          6.547      0.9470603127     25.7728947368
          6.565      0.9705340907     25.9872105263
          6.584      0.9421493565     26.1962631579
          6.603      0.9424208693     26.4050526316
          6.621      0.9584873382     26.6167894737
          6.640      0.9534118421     26.8267894737
          6.659      0.9435439834     27.0340000000
          6.677      0.9396571693     27.2397368421
          6.696      0.9485565596     27.4467894737
          6.714      0.9575417861     27.6551578947
          6.733      0.9957294280     27.8711578947
          6.752      0.9757765205     28.0821578947
          6.770      1.0118895133     28.3002631579
          6.789      1.0053994251     28.5162631579
          6.808      1.0303613238     28.7368947368
          6.826      1.0007752291     28.9504736842
          6.845      1.0388254560     29.1714210526
          6.863      1.0260197068     29.3888947368
          6.882      1.0069299581     29.6015789474
          6.901      1.0032434420     29.8127368421
          6.919      0.9975569449     30.0219473684
          6.938      1.0049604723     30.2319473684
          6.957      1.0367211041     30.4477894737
