# r/g(r)/dn[At1,At2]:      g(r)[ N, C]            dn(r)
          7.590      1.0134192293     35.9677916667
          7.608      1.0948487479     36.1614583333
          7.627      1.0296635845     36.3425416667
          7.646      1.0726662264     36.5300833333
          7.664      1.0610840566     36.7145000000
          7.683      1.0752131104     36.9002500000
          7.702      1.0813084847     37.0859166667
          7.720      1.0552940564     37.2660000000
          7.739      1.0781384840     37.4488333333
          7.757      0.9843618189     37.6147083333
          7.776      0.9854814272     37.7797083333
          7.795      1.0014363011     37.9462916667
          7.813      1.0226875696     38.1152916667
          7.832      1.0369060497     38.2855000000
          7.851      1.1004293128     38.4649166667
          7.869      1.1249887248     38.6470833333
          7.888      1.1162549262     38.8265833333
          7.906      1.1082305278     39.0035416667
          7.925      1.1353582958     39.1835416667
          7.944      1.1383109385     39.3627083333
          7.962      1.1125580749     39.5365416667
          7.981      1.1243544414     39.7109166667
          8.000      1.1136422568     39.8823333333
          8.018      1.1071824075     40.0514583333
          8.037      1.0248036479     40.2067916667
          8.055      1.0303917431     40.3617500000
          8.074      1.0495233406     40.5183333333
          8.093      1.0462098348     40.6731666667
          8.111      1.0093974584     40.8213333333
          8.130      1.0676213119     40.9767500000
          8.149      1.0443270438     41.1275000000
          8.167      1.0343687664     41.2755416667
          8.186      1.0671638495     41.4269583333
          8.204      1.0327482052     41.5722083333
          8.223      1.0724978888     41.7217083333
          8.242      1.0837658052     41.8714166667
          8.260      1.0986461667     42.0217916667
          8.279      1.1058732677     42.1717500000
          8.298      1.0832069908     42.3172500000
          8.316      1.1074540735     42.4645833333
          8.335      1.0775212261     42.6065416667
          8.353      1.1304203555     42.7540000000
          8.372      1.1728340047     42.9054583333
          8.391      1.1356686427     43.0506250000
          8.409      1.1030629130     43.1901666667
          8.428      1.1104393641     43.3291666667
          8.447      1.0345974901     43.4572916667
          8.465      1.0224650268     43.5825416667
          8.484      1.0675593283     43.7118750000
          8.502      1.1026052352     43.8439583333
          8.521      1.0836368149     43.9722916667
          8.540      1.0746136539     44.0980833333
