# r/g(r)/dn[At1,At2]:      g(r)[ H, H]            dn(r)
          6.174      1.0539523383     16.7756756757
          6.193      1.0230064470     16.9284324324
          6.212      1.0471064309     17.0857297297
          6.230      1.0279785103     17.2410810811
          6.249      1.0545704939     17.4014054054
          6.267      1.0136745198     17.5564324324
          6.286      1.0322710771     17.7152432432
          6.305      0.9919516814     17.8687567568
          6.323      1.0541726289     18.0328648649
          6.342      0.9982827891     18.1891891892
          6.361      1.0233301093     18.3503783784
          6.379      1.0432919602     18.5156756757
          6.398      1.0440100173     18.6820540541
          6.416      1.0001893572     18.8423783784
          6.435      0.9689274860     18.9985945946
          6.454      1.0266768677     19.1650810811
          6.472      1.0187879167     19.3312432432
          6.491      0.9806564831     19.4921081081
          6.510      0.9986427328     19.6568648649
          6.528      1.0046802615     19.8235675676
          6.547      1.0132243832     19.9926486486
          6.565      1.0042628945     20.1611891892
          6.584      0.9930250627     20.3286486486
          6.603      1.0273086688     20.5016216216
          6.621      1.0901633604     20.6846486486
          6.640      1.0384652456     20.8584864865
          6.659      1.0642228372     21.0361081081
          6.677      1.0349462921     21.2083243243
          6.696      1.0420189469     21.3811891892
          6.714      1.1629109436     21.5735135135
          6.733      1.0675461703     21.7495135135
          6.752      1.0360796449     21.9197837838
          6.770      1.0902388840     22.0983783784
          6.789      0.9997847400     22.2616216216
          6.808      1.0190415919     22.4274594595
          6.826      1.0677886304     22.6006486486
          6.845      1.0968374566     22.7779459459
          6.863      1.0677359001     22.9499459459
          6.882      1.0660795252     23.1210810811
          6.901      1.0921569092     23.2957837838
          6.919      1.1286314849     23.4756756757
          6.938      1.0918895872     23.6490810811
          6.957      1.0815618523     23.8202162162
          6.975      1.0903964449     23.9921081081
          6.994      1.0614743753     24.1588108108
          7.012      1.0081832270     24.3165405405
          7.031      0.9767137078     24.4687567568
          7.050      0.9533890732     24.6167567568
          7.068      0.9278154715     24.7602162162
          7.087      0.9097912596     24.9003243243
          7.106      0.8944720986     25.0375135135
          7.124      0.8578252080     25.1685405405
          7.143      0.7967382128     25.2897297297
          7.161      0.7337364550     25.4008648649
          7.180      0.7741605661     25.5176216216
          7.199      0.7674470659     25.6328648649
          7.217      0.7339476835     25.7425945946
          7.236      0.7183355689     25.8495135135
          7.255      0.7288749986     25.9575135135
          7.273      0.7461335864     26.0675675676
          7.292      0.7922958659     26.1838918919
          7.310      0.7693786517     26.2963243243
