# r/g(r)/dn[At1,At2]:      g(r)[Si,Si]            dn(r)            g(r)[Si, H]            dn(r)            g(r)[Si, C]            dn(r)            g(r)[Si, N]            dn(r)            g(r)[ H,Si]            dn(r)            g(r)[ H, H]            dn(r)            g(r)[ H, C]            dn(r)            g(r)[ H, N]            dn(r)            g(r)[ C,Si]            dn(r)            g(r)[ C, H]            dn(r)            g(r)[ C, C]            dn(r)            g(r)[ C, N]            dn(r)            g(r)[ N,Si]            dn(r)            g(r)[ N, H]            dn(r)            g(r)[ N, C]            dn(r)            g(r)[ N, N]            dn(r)            
       0.605319          -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000       -0.6659883944        0.0000000000
       0.623944          -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000       -0.6864803450        0.0000000000
       0.642569          -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000       -0.7069722956        0.0000000000
       0.661194          -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000       -0.7274642462        0.0000000000
       0.679820          -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000       -0.7479561967        0.0000000000
       0.698445          -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000       -0.7684481473        0.0000000000
       0.717070          -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000       -0.7889400979        0.0000000000
       0.735695          -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000       -0.8094320485        0.0000000000
       0.754320          -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000       -0.8299239991        0.0000000000
       0.772945          -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000       -0.8504159497        0.0000000000
       0.791571          -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000       -0.8709079003        0.0000000000
       0.810196          -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000       -0.8913998509        0.0000000000
       0.828821          -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000       -0.9118918015        0.0000000000
       0.847446          -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000       -0.9323837521        0.0000000000
